# UTF-8 source catalog for Moonshine Japanese presentation.
# Format: English key<TAB>Japanese CP932-rendered text.
# Controller glyphs use {A}, {B}, {X}, {Y}, {L}, {R}, {Z}, {C},
# {AMP}, {SLASH}, {LEFT}, {UP}, {RIGHT}, {DOWN}, and {SHINE}.

# Core navigation, tabs, and shared values.
susamune	Moonshine
Moonshine	Moonshine 日本語版
Gameplay	ゲーム
Savestate	ステート
Practice	練習
Cosmetic	見た目
Display	表示
Timer	タイマー
Shined	お気に入り
ILs	IL
Ghosts	ゴースト
Records	記録
Creation	作成
Binds	キー設定
Warps	ワープ
Stages	ステージ
On	オン
Off	オフ
Edit	編集
Default	標準
Reset	リセット
None	なし
Empty	空き
Incomplete	未完了
Unavailable	利用不可
Horizontal	横並び
Vertical	縦並び
Layout	配置
Open	開く
Close	閉じる
Back	戻る
Cancel	キャンセル
Select	選択
Yes	はい
No	いいえ
(none)	（なし）
(unknown)	（不明）
(unnamed)	（名称なし）
(unavailable)	（利用不可）
GENERAL	基本
SKIPS & UNLOCKS	スキップ・解禁
WORLD RULES	ワールド設定
SAVE PROMPTS	保存確認
LEVEL RULES	レベル設定
PRACTICE TOOLS	練習ツール
BOX GAMES	ボックスゲーム
PRESENTATION	演出
WORLD	ワールド
DIAGNOSTICS	診断
PRACTICE FEEDBACK	練習フィードバック
DISPLAY	表示
FREEZE EVENTS	フリーズ対象
SECTION HISTORY	区間履歴
STATE	ステート
FEEDBACK	フィードバック
PB PROFILE	PBプロファイル
PB OPTIONS	PB設定
INPUT DISPLAY	入力表示
METADATA	メタデータ
QFT	QFT

# Generic controls and prompts (spacing matches rendered source strings).
{A} Open    {B} Back	{A} 開く    {B} 戻る
{A} Details    {B} Back	{A} 詳細    {B} 戻る
{A} Select    {B} Back    {X} Subareas	{A} 選択    {B} 戻る    {X} サブエリア
{A} Yes    {B} No	{A} はい    {B} いいえ
{B} Back	{B} 戻る
{B} Cancel	{B} キャンセル
{A} Set bind    {B} Clear	{A} 設定    {B} 解除
{L}{SLASH}{R} Tabs  {C} Move  {A} Select  {X} Shine  	{L}{SLASH}{R} タブ  {C} 移動  {A} 選択  {X} 登録  
{L}{SLASH}{R} Tabs    {C} Move    {A} Select    	{L}{SLASH}{R} タブ    {C} 移動    {A} 選択    
 Close	 閉じる
Added to Shined	お気に入りに追加
Removed from Shined	お気に入りから削除
Nothing Shined yet	お気に入りはありません
Press X on a setting to add it here.	設定でXを押すと追加できます。

# Setting names.
Fast text	高速テキスト
FLUDD in secrets	ヒミツでポンプ
Area lock	エリア固定
Infinite lives	残機無限
Disable blue coin flag	青コイン取得を無効
FMV skips	FMVスキップ
Unlock Yoshi	ヨッシー解禁
Unlock nozzles	ノズル解禁
Free pause	任意の箇所でポーズ
Exit area everywhere	任意の場所でコースから出られる
Any fruit opens Yoshi eggs	任意のフルーツでヨッシーを解放
Infinite juice	ジュース無限
Intro skip	起動イントロスキップ
Respawn one-time shines	一度しか出現しないシャインの再出現
Force Piantissimo pattern	モンテマン配置
Save RNG state	乱数を保存
Nozzle lock	ノズル固定
Force plaza events	ドルピックタウンイベントの強制再生
Never pause IGT	ポーズ中にタイマーを止めない
Shadow Mario HP meter	ニセマリオHP表示
Stage intro skip	デモムービースキップ
Deathless blooper surfing	死なないイカサーフィン
No shine get animation	シャイン取得演出なし
Fruit never times out	永久フルーツ
Disable Z Menu	Zメニュー無効
Disable Susamune Warps	Moonshineワープ無効
Mute background music	BGMミュート
Episode names as IDs	ストーリー名をID表示
Shine outfit	シャイン衣装
Shiny shines	透明シャインを光らせる
Show BGM slot counter	BGMスロット表示
Disable 3rd Chomplet aggro	キャンキャン3体目無反応
Sunshine timer	サンシャインタイマー
Bottom-left QFT	左下QFT
Freeze duration	フリーズ時間
Freeze: yellow coin	フリーズ：黄コイン
Freeze: red coin	フリーズ：赤コイン
Freeze: blue coin	フリーズ：青コイン
Freeze: item / 1-Up	フリーズ：アイテム・1UP
Freeze: talk	フリーズ：会話
Freeze: demo	フリーズ：デモ
Freeze: clean event	フリーズ：汚れイベント
Freeze: Bowser event	フリーズ：クッパイベント
Freeze: mount Yoshi	フリーズ：ヨッシー搭乗
Freeze: take object	フリーズ：物を持つ
Freeze: drop object	フリーズ：物を投げる
Freeze: put object	フリーズ：物を置く
Freeze: triple jump	フリーズ：三段ジャンプ
Freeze: spin jump	フリーズ：スピンジャンプ
Freeze: ledge grab	フリーズ：崖つかまり
Freeze: wall kick	フリーズ：壁キック
Freeze: rope jump	フリーズ：ロープジャンプ
Freeze: bounce	フリーズ：バウンド
Attempt counter	挑戦カウンター
In-stage counter controls	ステージ内カウンター操作
Pattern selector	パターン選択
PB fanfare	記録更新時ファンファーレ機能
